full_name,gsis_id,new_id
Marcus Trufant,00-0022046,32013030-2d30-3032-3230-34367dc970c6
Tyler Brayton,00-0022047,32013030-2d30-3032-3230-3437a90da801
Visanthe Shiancoe,00-0022054,32013030-2d30-3032-3230-353473eab7ae
Seneca Wallace,00-0022055,32013030-2d30-3032-3230-353563e50f54
Robert Mathis,00-0022059,32013030-2d30-3032-3230-35394b6c51c5
Arnaz Battle,00-0022064,32013030-2d30-3032-3230-363437f62ea4
Yeremiah Bell,00-0022067,32013030-2d30-3032-3230-363796bed538
Kevin Williams,00-0022073,32013030-2d30-3032-3230-3733212b29bd
Nnamdi Asomugha,00-0022077,32013030-2d30-3032-3230-3737ca15824f
Rashean Mathis,00-0022080,32013030-2d30-3032-3230-3830a7d39207
E.J. Henderson,00-0022081,32013030-2d30-3032-3230-3831db903e72
Anquan Boldin,00-0022084,32013030-2d30-3032-3230-38343770790e
Anthony Adams,00-0022085,32013030-2d30-3032-3230-3835581202e8
Brandon Lloyd,00-0022097,32013030-2d30-3032-3230-39376094ad7b
Jordan Gross,00-0022117,32013030-2d30-3032-3231-3137724881db
Troy Polamalu,00-0022119,32013030-2d30-3032-3231-3139fedb1892
Calvin Pace,00-0022120,32013030-2d30-3032-3231-323062566fc1
Rex Grossman,00-0022121,32013030-2d30-3032-3231-32312bbd6e07
Charles Tillman,00-0022123,32013030-2d30-3032-3231-3233222e278e
Jason Witten,00-0022127,32013030-2d30-3032-3231-32373ce51f62
Lance Briggs,00-0022128,32013030-2d30-3032-3231-3238b684dbd8
Wade Smith,00-0022131,32013030-2d30-3032-3231-333128cae588
Derrick Dockery,00-0022132,32013030-2d30-3032-3231-3332f7bfdb1c
Bradie James,00-0022137,32013030-2d30-3032-3231-333725584f12
Jarret Johnson,00-0022139,32013030-2d30-3032-3231-3339efefbe17
Ovie Mughelli,00-0022143,32013030-2d30-3032-3231-3433c686736c
Aubrayo Franklin,00-0022147,32013030-2d30-3032-3231-3437e0dc277c
Tony Pashos,00-0022149,32013030-2d30-3032-3231-3439bc73e878
Jimmy Kennedy,00-0022155,32013030-2d30-3032-3231-3535291ea51e
Bryant Johnson,00-0022156,32013030-2d30-3032-3231-353660e7c565
Jeff Faine,00-0022157,32013030-2d30-3032-3231-3537922dba00
Donald Strickland,00-0022158,32013030-2d30-3032-3231-3538363cc39a
Terrell Suggs,00-0022161,32013030-2d30-3032-3231-363176e3f662
Kyle Boller,00-0022164,32013030-2d30-3032-3231-3634ecb7f7d7
Dallas Clark,00-0022165,32013030-2d30-3032-3231-36355413711e
Chris Crocker,00-0022167,32013030-2d30-3032-3231-3637d873aa5f
Antonio Garay,00-0022169,32013030-2d30-3032-3231-3639739da407
Byron Leftwich,00-0022177,32013030-2d30-3032-3231-3737dee12508
Willis McGahee,00-0022178,32013030-2d30-3032-3231-3738f30af1ce
Travelle Wharton,00-0022214,32013030-2d30-3032-3232-3134829cc30e
Mewelde Moore,00-0022217,32013030-2d30-3032-3232-31374d91cef8
Erik Coleman,00-0022218,32013030-2d30-3032-3232-3138759273fb
Tyson Clabo,00-0022245,32013030-2d30-3032-3232-343535ce505c
Mike Adams,00-0022247,32013030-2d30-3032-3232-343712124fee
Anthony Herrera,00-0022266,32013030-2d30-3032-3232-36363eeb1d7c
George Wilson,00-0022341,32013030-2d30-3032-3233-3431b4a195d4
Ryan Lilja,00-0022350,32013030-2d30-3032-3233-353049e86a45
Benny Sapp,00-0022352,32013030-2d30-3032-3233-3532af390f07
Terrance Copper,00-0022388,32013030-2d30-3032-3233-38385865b6b7
Vonta Leach,00-0022397,32013030-2d30-3032-3233-3937a45074ba
Lousaka Polite,00-0022405,32013030-2d30-3032-3234-303545b4bea2
Jordan Babineaux,00-0022409,32013030-2d30-3032-3234-3039bea62026
Malcom Floyd,00-0022414,32013030-2d30-3032-3234-3134d898f597
Ruvell Martin,00-0022421,32013030-2d30-3032-3234-3231cd712d49
Wes Welker,00-0022427,32013030-2d30-3032-3234-3237c5d6fb3d
Jeremy Cain,00-0022502,32013030-2d30-3032-3235-30328fdab1cf
Jabari Greer,00-0022527,32013030-2d30-3032-3235-32377dbef6d9
Jason Peters,00-0022531,32013030-2d30-3032-3235-33311e2f3ae1
Tommy Kelly,00-0022539,32013030-2d30-3032-3235-3339baa22720
Spencer Johnson,00-0022610,32013030-2d30-3032-3236-31302e7d7a56
Donnie Jones,00-0022684,32013030-2d30-3032-3236-3834f2047ed5
Jason Babin,00-0022695,32013030-2d30-3032-3236-393541e98a71
Keyaron Fox,00-0022697,32013030-2d30-3032-3236-39375d112a46
Demorrio Williams,00-0022707,32013030-2d30-3032-3237-3037911d5d74
Niko Koutouvides,00-0022710,32013030-2d30-3032-3237-3130a1804f77
Vince Wilfork,00-0022712,32013030-2d30-3032-3237-3132b3a48860
Kris Wilson,00-0022714,32013030-2d30-3032-3237-3134cdc565c0
Shaun Phillips,00-0022723,32013030-2d30-3032-3237-3233846dc605
Michael Clayton,00-0022725,32013030-2d30-3032-3237-3235b7416edb
Keary Colbert,00-0022726,32013030-2d30-3032-3237-3236fd40333d
Dunta Robinson,00-0022735,32013030-2d30-3032-3237-33357a0d5c0b
Steven Jackson,00-0022736,32013030-2d30-3032-3237-3336d84a194c
Chris Cooley,00-0022738,32013030-2d30-3032-3237-333882af5548
Jared Allen,00-0022740,32013030-2d30-3032-3237-343072850589
Dwan Edwards,00-0022750,32013030-2d30-3032-3237-35301659b9f9
Anthony Hargrove,00-0022753,32013030-2d30-3032-3237-353367a147f2
Jake Scott,00-0022755,32013030-2d30-3032-3237-3535147d3331
Patrick Crayton,00-0022766,32013030-2d30-3032-3237-36369257f551
Jacques Reeves,00-0022767,32013030-2d30-3032-3237-3637cc0a576f
Derrick Ward,00-0022770,32013030-2d30-3032-3237-3730ab3e1585
Eugene Amano,00-0022771,32013030-2d30-3032-3237-37319d4e7db4
Jonathan Vilma,00-0022778,32013030-2d30-3032-3237-3738cb9fbb55
D.J. Williams,00-0022780,32013030-2d30-3032-3237-3830e4b798fa
Michael Jenkins,00-0022781,32013030-2d30-3032-3237-38319e95d824
Max Starks,00-0022785,32013030-2d30-3032-3237-383564b1a29d
Matt Schaub,00-0022787,32013030-2d30-3032-3237-3837e8f3d1a2
Antonio Smith,00-0022793,32013030-2d30-3032-3237-3933c73b0f7e
Eli Manning,00-0022803,32013030-2d30-3032-3238-3033cc58aa39
Nick Hardwick,00-0022804,32013030-2d30-3032-3238-30347ce87c3f
Randy Starks,00-0022805,32013030-2d30-3032-3238-3035cdf8a370
Bernard Berrian,00-0022807,32013030-2d30-3032-3238-303719bd9ab7
Stephen Peterman,00-0022808,32013030-2d30-3032-3238-3038bb367e3e
Jerricho Cotchery,00-0022811,32013030-2d30-3032-3238-313152a073a9
Dave Ball,00-0022814,32013030-2d30-3032-3238-313480bcc534
Gibril Wilson,00-0022815,32013030-2d30-3032-3238-313520bc79f5
Michael Turner,00-0022821,32013030-2d30-3032-3238-32311bdd0b54
Andy Lee,00-0022824,32013030-2d30-3032-3238-32349b479eae
Nate Jones,00-0022828,32013030-2d30-3032-3238-32385bf5c279
Scott Wells,00-0022832,32013030-2d30-3032-3238-3332b2ff0bc4
Robert Gallery,00-0022836,32013030-2d30-3032-3238-3336d1eba343
Tommie Harris,00-0022837,32013030-2d30-3032-3238-33371b6e1844
Chris Snee,00-0022838,32013030-2d30-3032-3238-3338d7304dd0
Daryl Smith,00-0022839,32013030-2d30-3032-3238-333913b25b19
Madieu Williams,00-0022842,32013030-2d30-3032-3238-3432d5bab896
Shawntae Spencer,00-0022843,32013030-2d30-3032-3238-3433dfdf179e
Sean Jones,00-0022844,32013030-2d30-3032-3238-3434185a7835
Ben Hartsock,00-0022847,32013030-2d30-3032-3238-3437425d48a6
Sean Locklear,00-0022855,32013030-2d30-3032-3238-353594d49320
Darrion Scott,00-0022858,32013030-2d30-3032-3238-35387fc6787b
Isaac Sopoaga,00-0022863,32013030-2d30-3032-3238-3633ccd82272
Luke McCown,00-0022864,32013030-2d30-3032-3238-3634afa2a00d
Robert Geathers,00-0022867,32013030-2d30-3032-3238-3637669d087d
Jacob Bell,00-0022875,32013030-2d30-3032-3238-373554f2572f
Amon Gordon,00-0022878,32013030-2d30-3032-3238-37381cb6ea3f
Vernon Carey,00-0022890,32013030-2d30-3032-3238-3930dc01fd1a
Travis LaBoy,00-0022894,32013030-2d30-3032-3238-393457ffe7b4
Greg Jones,00-0022897,32013030-2d30-3032-3238-39371c364df6
Will Allen,00-0022900,32013030-2d30-3032-3239-3030a84d29fb
Rex Hadnot,00-0022905,32013030-2d30-3032-3239-3035c510cce3
Corey Williams,00-0022906,32013030-2d30-3032-3239-30366860e5ed
Roy Williams,00-0022909,32013030-2d30-3032-3239-30392e97c147
Lee Evans,00-0022910,32013030-2d30-3032-3239-313040bb2bc5
Will Smith,00-0022911,32013030-2d30-3032-3239-3131c35ce5c7
J.P. Losman,00-0022912,32013030-2d30-3032-3239-31326ca7d078
Chris Gamble,00-0022914,32013030-2d30-3032-3239-3134b0ace143
Igor Olshansky,00-0022915,32013030-2d30-3032-3239-3135ac8207a0
Larry Fitzgerald,00-0022921,32013030-2d30-3032-3239-323176c2a1fa
Kellen Winslow,00-0022922,32013030-2d30-3032-3239-3232465025ef
DeAngelo Hall,00-0022923,32013030-2d30-3032-3239-323318ac5cc6
Ben Roethlisberger,00-0022924,32013030-2d30-3032-3239-3234f41ff7f7
Karlos Dansby,00-0022927,32013030-2d30-3032-3239-3237f0aa0c5a
Devery Henderson,00-0022929,32013030-2d30-3032-3239-32399ca637a6
Darnell Dockett,00-0022930,32013030-2d30-3032-3239-3330b928df69
Philip Rivers,00-0022942,32013030-2d30-3032-3239-34322bc30020
Benjamin Watson,00-0022943,32013030-2d30-3032-3239-3433af8a4c03
Bob Sanders,00-0022944,32013030-2d30-3032-3239-343427ef7245
Dan Connolly,00-0022979,32013030-2d30-3032-3239-373978b661f3
Ryan Grant,00-0022984,32013030-2d30-3032-3239-3834762d9177
John Kuhn,00-0022999,32013030-2d30-3032-3239-3939bbbfa741
Shaun Suisham,00-0023001,32013030-2d30-3032-3330-30318a36c64e
Adrian Awasom,00-0023005,32013030-2d30-3032-3330-303526c9dcde
Chris Carr,00-0023008,32013030-2d30-3032-3330-30384ea3bb1c
Brandon Browner,00-0023013,32013030-2d30-3032-3330-3133e3ab02be
Erik Pears,00-0023016,32013030-2d30-3032-3330-3136a0b0c8d5
James Butler,00-0023053,32013030-2d30-3032-3330-3533465693a4
Chris Kluwe,00-0023060,32013030-2d30-3032-3330-3630e93eeb9d
Stephen Spach,00-0023108,32013030-2d30-3032-3331-3038a880a8da
Josh Cribbs,00-0023176,32013030-2d30-3032-3331-3736cf71990d
Harvey Dahl,00-0023180,32013030-2d30-3032-3331-383056751ec0
Leigh Torrence,00-0023186,32013030-2d30-3032-3331-383622bb1a18
Heath Farwell,00-0023215,32013030-2d30-3032-3332-3135a443a352
Tim Bulman,00-0023219,32013030-2d30-3032-3332-31396ac74c90
Michael Koenen,00-0023234,32013030-2d30-3032-3332-333472d60074
Mike Wright,00-0023255,32013030-2d30-3032-3332-353573a881bc
Lorenzo Alexander,00-0023259,32013030-2d30-3032-3332-3539983eed03
Jim Leonhard,00-0023287,32013030-2d30-3032-3332-383738ecb17c
Lance Moore,00-0023310,32013030-2d30-3032-3333-313033a65748
Raymond Ventrone,00-0023316,32013030-2d30-3032-3333-3136f6c8ec40
Gary Gibson,00-0023327,32013030-2d30-3032-3333-323711192525
Chris Kemoeatu,00-0023362,32013030-2d30-3032-3333-36329dee18c7
Nate Washington,00-0023367,32013030-2d30-3032-3333-3637d0f78987
Cameron Wake,00-0023368,32013030-2d30-3032-3333-36388eaa04cb
Atari Bigby,00-0023404,32013030-2d30-3032-3334-3034f5191c46
